epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.938,3.45194,4.93259,2.68537,3.21992,0.64284,0.64618,0.64952,0.30837,0.64673,0.63463,0.64371,0.27902,2.00466,2.16253,1.53716,1.46125,0.00332011,0.00332011,0.00332011
2,290.489,2.01341,1.84629,1.38972,1.60519,0.75434,0.7796,0.81225,0.44673,0.75666,0.7632,0.80047,0.41171,1.56088,1.55359,1.04221,1.13595,0.00660953,0.00660953,0.00660953
3,439.728,1.72565,1.50413,1.18867,1.36988,0.76911,0.80664,0.84947,0.5192,0.76963,0.78528,0.83528,0.47569,1.3252,1.35053,1.00817,1.03127,0.00985495,0.00985495,0.00985495
4,573.694,1.40011,1.27894,0.93113,1.16266,0.80224,0.84008,0.89537,0.58752,0.80208,0.82338,0.88244,0.49552,1.15409,1.31606,0.75388,0.95602,0.009802,0.009802,0.009802
5,704.632,1.17239,1.14534,0.75201,1.03124,0.84302,0.86261,0.92423,0.63964,0.83961,0.84246,0.90662,0.5147,1.05557,1.14854,0.69186,0.93915,0.009736,0.009736,0.009736
6,835.985,1.06069,1.07509,0.67171,0.97905,0.86904,0.88583,0.94767,0.66248,0.86393,0.86467,0.92749,0.51725,0.99965,1.12737,0.60028,0.90006,0.00967,0.00967,0.00967
7,967.05,0.99076,1.01847,0.6233,0.9513,0.85812,0.87977,0.94303,0.68847,0.85354,0.86144,0.92423,0.52373,0.90345,1.06742,0.63262,0.88379,0.009604,0.009604,0.009604
8,1098.3,0.94592,0.98778,0.58777,0.93482,0.89356,0.89667,0.96044,0.71629,0.88511,0.87341,0.93751,0.53713,0.8519,1.03337,0.54056,0.85762,0.009538,0.009538,0.009538
9,1229.8,0.91426,0.96527,0.56244,0.92271,0.89106,0.89956,0.95886,0.7089,0.8818,0.87973,0.93699,0.52303,0.85544,1.00784,0.55204,0.86473,0.009472,0.009472,0.009472
10,1360.97,0.8878,0.93644,0.54087,0.91344,0.90972,0.90536,0.96793,0.7361,0.90323,0.88422,0.9473,0.5502,0.80591,0.98733,0.49784,0.84413,0.009406,0.009406,0.009406
