epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.055,3.45194,4.93259,2.68537,3.21992,0.64284,0.64618,0.64952,0.30837,0.64673,0.63463,0.64371,0.27902,2.00466,2.16253,1.53716,1.46125,0.00332011,0.00332011,0.00332011
2,288.351,2.01038,1.8463,1.38743,1.60423,0.73485,0.71591,0.77355,0.42448,0.73701,0.70331,0.76135,0.39817,1.62534,1.66946,1.14098,1.16925,0.00658757,0.00658757,0.00658757
3,438.152,1.7277,1.50934,1.19552,1.374,0.7521,0.74167,0.80529,0.46641,0.7537,0.73498,0.80007,0.44419,1.49552,1.48437,0.99952,1.08245,0.00978903,0.00978903,0.00978903
4,573.403,1.40303,1.28169,0.93185,1.16244,0.79791,0.83189,0.888,0.57325,0.79577,0.82413,0.88047,0.49737,1.20506,1.29306,0.78997,0.97093,0.009703,0.009703,0.009703
5,708.139,1.17167,1.14509,0.755,1.03123,0.82063,0.87863,0.92465,0.64613,0.82063,0.8599,0.91091,0.52981,1.02892,1.14348,0.66708,0.92258,0.009604,0.009604,0.009604
6,841.541,1.06093,1.07119,0.67268,0.97899,0.86383,0.8846,0.94592,0.66827,0.85814,0.85858,0.9222,0.50387,0.96739,1.10978,0.61707,0.90637,0.009505,0.009505,0.009505
7,972.383,0.99017,1.0155,0.62129,0.95137,0.847,0.87097,0.93714,0.69318,0.84281,0.85433,0.92056,0.53,0.88486,1.09729,0.63592,0.881,0.009406,0.009406,0.009406
8,1103.64,0.94544,0.98609,0.5891,0.93503,0.89172,0.89444,0.95967,0.70867,0.88275,0.87039,0.93534,0.52913,0.86923,1.04904,0.54308,0.86746,0.009307,0.009307,0.009307
9,1246.61,0.91167,0.96284,0.56334,0.92201,0.88409,0.89396,0.95696,0.70946,0.87823,0.87472,0.93726,0.52443,0.85326,1.00791,0.54734,0.86966,0.009208,0.009208,0.009208
10,1378.02,0.8865,0.93509,0.53986,0.91268,0.90417,0.90212,0.9649,0.7334,0.8975,0.88709,0.94833,0.55964,0.81559,0.99304,0.51822,0.84618,0.009109,0.009109,0.009109
11,1508.62,0.86141,0.91619,0.5249,0.90614,0.90785,0.90719,0.96771,0.74112,0.90147,0.88968,0.94883,0.55685,0.79097,1.00914,0.50044,0.84042,0.00901,0.00901,0.00901
12,1639.67,0.84481,0.90544,0.51015,0.9,0.91465,0.91627,0.97287,0.73876,0.90512,0.89427,0.95046,0.54153,0.8076,0.9942,0.49278,0.83405,0.008911,0.008911,0.008911
13,1770.88,0.82963,0.89006,0.49867,0.89545,0.90498,0.92117,0.9713,0.74218,0.89399,0.89936,0.94967,0.55337,0.79248,0.96914,0.47105,0.83099,0.008812,0.008812,0.008812
14,1901.88,0.82039,0.88154,0.48682,0.89031,0.91969,0.9118,0.972,0.74259,0.90887,0.89119,0.95015,0.54702,0.80162,1.00024,0.47122,0.83685,0.008713,0.008713,0.008713
15,2032.14,0.80642,0.86721,0.47696,0.88664,0.92429,0.92468,0.9767,0.75957,0.91748,0.90322,0.95702,0.56119,0.75722,0.97725,0.45324,0.82606,0.008614,0.008614,0.008614
16,2163.12,0.798,0.86284,0.47155,0.88346,0.92165,0.92167,0.97538,0.75974,0.91237,0.90489,0.95602,0.55498,0.7419,0.95341,0.45577,0.82287,0.008515,0.008515,0.008515
17,2319.12,0.78623,0.85329,0.46251,0.87977,0.92105,0.92135,0.97484,0.74873,0.91011,0.89871,0.95154,0.54299,0.77854,0.96192,0.46525,0.82422,0.008416,0.008416,0.008416
18,2449.66,0.77964,0.84732,0.45988,0.87921,0.92133,0.92275,0.97536,0.76217,0.91091,0.90202,0.95353,0.55462,0.74044,0.94742,0.44976,0.81913,0.008317,0.008317,0.008317
19,2580.8,0.77331,0.84467,0.4531,0.87591,0.92077,0.92265,0.97502,0.7626,0.90988,0.9016,0.95372,0.54905,0.73728,0.93168,0.45673,0.81524,0.008218,0.008218,0.008218
20,2724.03,0.76562,0.83758,0.44902,0.87406,0.92528,0.9155,0.9747,0.75682,0.91354,0.89563,0.95355,0.55127,0.74831,0.9335,0.45623,0.8159,0.008119,0.008119,0.008119
21,2854.1,0.75973,0.83237,0.44275,0.8725,0.92585,0.92459,0.97743,0.77678,0.91833,0.90742,0.9598,0.57573,0.70678,0.92495,0.43156,0.80878,0.00802,0.00802,0.00802
22,2984.95,0.75376,0.82518,0.43725,0.8695,0.92784,0.92925,0.97843,0.76553,0.91724,0.9032,0.95478,0.55429,0.73423,0.92238,0.42855,0.81009,0.007921,0.007921,0.007921
23,3115.74,0.7492,0.82186,0.43481,0.86895,0.9274,0.93119,0.97911,0.77773,0.9186,0.91016,0.96001,0.56966,0.71187,0.90868,0.42389,0.8088,0.007822,0.007822,0.007822
24,3245.94,0.74244,0.81289,0.43209,0.86698,0.93239,0.9312,0.98004,0.7789,0.9218,0.90888,0.95936,0.55978,0.70462,0.92108,0.41553,0.80962,0.007723,0.007723,0.007723
